Ensembl Gene ID,Gene Start (bp),Gene End (bp),Strand,Chromosome Name,Associated Gene Name,Description
ENSG00000152422,82373317,82649606,1,5,XRCC4,X-ray repair complementing defective repair in Chinese hamster cells 4 [Source:HGNC Symbol;Acc:12831]
ENSG00000174808,75669969,75719896,-1,4,BTC,betacellulin [Source:HGNC Symbol;Acc:1121]
ENSG00000145808,128795958,129074376,1,5,ADAMTS19,"ADAM metallopeptidase with thrombospondin type 1 motif, 19 [Source:HGNC Symbol;Acc:17111]"
ENSG00000225485,36584662,36668628,1,17,ARHGAP23,Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:29293]
ENSG00000167065,31048038,31063877,-1,22,DUSP18,dual specificity phosphatase 18 [Source:HGNC Symbol;Acc:18484]
ENSG00000170214,159343790,159399551,1,5,ADRA1B,adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:278]
ENSG00000167987,60897728,60929089,-1,11,VPS37C,vacuolar protein sorting 37 homolog C (S. cerevisiae) [Source:HGNC Symbol;Acc:26097]
ENSG00000120156,27109139,27230173,1,9,TEK,"TEK tyrosine kinase, endothelial [Source:HGNC Symbol;Acc:11724]"
ENSG00000160746,43396351,43733086,-1,3,ANO10,anoctamin 10 [Source:HGNC Symbol;Acc:25519]
ENSG00000120708,135364584,135399507,1,5,TGFBI,"transforming growth factor, beta-induced, 68kDa [Source:HGNC Symbol;Acc:11771]"
ENSG00000154025,18853658,18925908,1,17,SLC5A10,"solute carrier family 5 (sodium/sugar cotransporter), member 10 [Source:HGNC Symbol;Acc:23155]"
ENSG00000070182,65213002,65346601,-1,14,SPTB,"spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:11274]"
ENSG00000120029,103605356,103815950,-1,10,C10orf76,chromosome 10 open reading frame 76 [Source:HGNC Symbol;Acc:25788]
ENSG00000165757,30301729,30404423,-1,10,KIAA1462,KIAA1462 [Source:HGNC Symbol;Acc:29283]
ENSG00000259471,66874528,66978132,1,15,RP11-321F6.1,HCG2003567; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H0YNC6]
ENSG00000133401,31639517,32111037,1,5,PDZD2,PDZ domain containing 2 [Source:HGNC Symbol;Acc:18486]
ENSG00000123815,41197434,41224112,-1,19,ADCK4,aarF domain containing kinase 4 [Source:HGNC Symbol;Acc:19041]
ENSG00000169116,75858305,75975325,1,4,PARM1,prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:24536]
ENSG00000165644,76993727,76995788,-1,10,COMTD1,catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:26309]
ENSG00000118849,158414681,158450485,-1,3,RARRES1,retinoic acid receptor responder (tazarotene induced) 1 [Source:HGNC Symbol;Acc:9867]
ENSG00000113312,159436120,159492550,1,5,TTC1,tetratricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:12391]
ENSG00000251692,1535887,1538982,-1,16,PTX4,"pentraxin 4, long [Source:HGNC Symbol;Acc:14171]"
ENSG00000182405,34394274,34396591,1,15,PGBD4,piggyBac transposable element derived 4 [Source:HGNC Symbol;Acc:19401]
ENSG00000090061,99947506,100001381,1,14,CCNK,cyclin K [Source:HGNC Symbol;Acc:1596]
ENSG00000259009,48337701,48364769,1,19,TPRX2P,tetra-peptide repeat homeobox 2 pseudogene [Source:HGNC Symbol;Acc:32175]
ENSG00000256294,44616334,44637027,1,19,ZNF225,zinc finger protein 225 [Source:HGNC Symbol;Acc:13018]
ENSG00000162992,182537815,182545603,-1,2,NEUROD1,neuronal differentiation 1 [Source:HGNC Symbol;Acc:7762]
ENSG00000173198,77526961,77583048,-1,X,CYSLTR1,cysteinyl leukotriene receptor 1 [Source:HGNC Symbol;Acc:17451]
ENSG00000105398,48373723,48389654,-1,19,SULT2A1,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1 [Source:HGNC Symbol;Acc:11458]"
ENSG00000137834,66994566,67074338,1,15,SMAD6,SMAD family member 6 [Source:HGNC Symbol;Acc:6772]
ENSG00000206485,30633702,30645208,-1,HSCHR6_MHC_QBL,PPP1R18,"protein phosphatase 1, regulatory subunit 18 [Source:HGNC Symbol;Acc:29413]"
ENSG00000179028,51942963,51946358,1,X,RP11-363G10.2,
ENSG00000233345,31735723,31742275,1,HSCHR6_MHC_APD,MSH5,mutS homolog 5 [Source:HGNC Symbol;Acc:7328]
ENSG00000155622,52112173,52118823,1,X,XAGE2B,"X antigen family, member 2B [Source:HGNC Symbol;Acc:30680]"
ENSG00000001461,24742284,24799466,1,1,NIPAL3,NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]
ENSG00000117335,207925402,207968858,1,1,CD46,"CD46 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:6953]"
ENSG00000188334,48471303,48495427,-1,19,BSPH1,binder of sperm protein homolog 1 [Source:HGNC Symbol;Acc:33906]
ENSG00000100726,1543345,1560458,1,16,TELO2,telomere maintenance 2 [Source:HGNC Symbol;Acc:29099]
ENSG00000267229,111657010,111750144,-1,HG388_HG400_PATCH,ALG9,
ENSG00000179954,55999771,56030465,1,19,SSC5D,scavenger receptor cysteine rich domain containing (5 domains) [Source:HGNC Symbol;Acc:26641]
ENSG00000167863,73034958,73043080,-1,17,ATP5H,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d [Source:HGNC Symbol;Acc:845]"
ENSG00000221838,99699172,99707968,1,7,AP4M1,"adaptor-related protein complex 4, mu 1 subunit [Source:HGNC Symbol;Acc:574]"
ENSG00000263002,44645710,44663156,1,19,ZNF234,zinc finger protein 234 [Source:HGNC Symbol;Acc:13027]
ENSG00000134152,34432875,34502297,-1,15,KATNBL1,katanin p80 subunit B-like 1 [Source:HGNC Symbol;Acc:26199]
ENSG00000164093,111538579,111563279,-1,4,PITX2,paired-like homeodomain 2 [Source:HGNC Symbol;Acc:9005]
ENSG00000138449,190425305,190448484,-1,2,SLC40A1,"solute carrier family 40 (iron-regulated transporter), member 1 [Source:HGNC Symbol;Acc:10909]"
ENSG00000115163,26987157,27023935,1,2,CENPA,centromere protein A [Source:HGNC Symbol;Acc:1851]
ENSG00000079332,71907045,71930279,-1,10,SAR1A,SAR1 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:10534]
ENSG00000175535,118305443,118327367,1,10,PNLIP,pancreatic lipase [Source:HGNC Symbol;Acc:9155]
ENSG00000108468,46147414,46178883,-1,17,CBX1,chromobox homolog 1 [Source:HGNC Symbol;Acc:1551]
ENSG00000169393,48497908,48528410,1,19,ELSPBP1,epididymal sperm binding protein 1 [Source:HGNC Symbol;Acc:14417]
ENSG00000179300,77911566,77914825,-1,X,ZCCHC5,"zinc finger, CCHC domain containing 5 [Source:HGNC Symbol;Acc:22997]"
ENSG00000172578,183205319,183273477,-1,3,KLHL6,kelch-like family member 6 [Source:HGNC Symbol;Acc:18653]
ENSG00000147010,19552093,19905719,-1,X,SH3KBP1,SH3-domain kinase binding protein 1 [Source:HGNC Symbol;Acc:13867]
ENSG00000204382,52235228,52243954,1,X,XAGE1B,"X antigen family, member 1B [Source:HGNC Symbol;Acc:25400]"
ENSG00000153292,46965440,47010099,-1,6,GPR110,G protein-coupled receptor 110 [Source:HGNC Symbol;Acc:18990]
ENSG00000032389,3192696,3381653,-1,2,TSSC1,tumor suppressing subtransferable candidate 1 [Source:HGNC Symbol;Acc:12383]
ENSG00000112320,107811162,107981357,1,6,SOBP,sine oculis binding protein homolog (Drosophila) [Source:HGNC Symbol;Acc:29256]
ENSG00000125869,9495005,9511171,1,20,LAMP5,"lysosomal-associated membrane protein family, member 5 [Source:HGNC Symbol;Acc:16097]"
ENSG00000171148,9821544,9834695,-1,3,TADA3,transcriptional adaptor 3 [Source:HGNC Symbol;Acc:19422]
ENSG00000262028,111744779,111751966,-1,HG388_HG400_PATCH,FDXACB1,ferredoxin-fold anticodon binding domain containing 1 [Source:HGNC Symbol;Acc:25110]
ENSG00000159374,74785010,74875465,-1,2,M1AP,meiosis 1 associated protein [Source:HGNC Symbol;Acc:25183]
ENSG00000163743,76404247,76439974,-1,4,RCHY1,"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17479]"
ENSG00000206484,30645360,30648733,-1,HSCHR6_MHC_QBL,NRM,nurim (nuclear envelope membrane protein) [Source:HGNC Symbol;Acc:8003]
ENSG00000137210,10747992,10852986,1,6,TMEM14B,transmembrane protein 14B [Source:HGNC Symbol;Acc:21384]
ENSG00000152266,13513602,13517728,-1,11,PTH,parathyroid hormone [Source:HGNC Symbol;Acc:9606]
ENSG00000147145,78003206,78012591,1,X,LPAR4,lysophosphatidic acid receptor 4 [Source:HGNC Symbol;Acc:4478]
ENSG00000112486,167525295,167553184,1,6,CCR6,chemokine (C-C motif) receptor 6 [Source:HGNC Symbol;Acc:1607]
ENSG00000184470,19863040,19929341,-1,22,TXNRD2,thioredoxin reductase 2 [Source:HGNC Symbol;Acc:18155]
ENSG00000169972,1243947,1247057,1,1,PUSL1,pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:26914]
ENSG00000205476,99977603,100070363,-1,14,CCDC85C,coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:35459]
ENSG00000186367,129083772,129102425,1,5,KIAA1024L,KIAA1024-like [Source:HGNC Symbol;Acc:33914]
ENSG00000164292,95049226,95160087,1,5,RHOBTB3,Rho-related BTB domain containing 3 [Source:HGNC Symbol;Acc:18757]
ENSG00000113580,142657496,142815077,-1,5,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) [Source:HGNC Symbol;Acc:7978]"
ENSG00000184792,31089769,31303811,1,22,OSBP2,oxysterol binding protein 2 [Source:HGNC Symbol;Acc:8504]
ENSG00000262176,111749658,111756698,1,HG388_HG400_PATCH,C11orf1,chromosome 11 open reading frame 1 [Source:HGNC Symbol;Acc:1163]
ENSG00000172878,172864490,172947158,1,2,METAP1D,methionyl aminopeptidase type 1D (mitochondrial) [Source:HGNC Symbol;Acc:32583]
ENSG00000138434,182756560,182795465,1,2,SSFA2,sperm specific antigen 2 [Source:HGNC Symbol;Acc:11319]
ENSG00000229859,60970779,60980570,1,11,PGA3,"pepsinogen 3, group I (pepsinogen A) [Source:HGNC Symbol;Acc:8885]"
ENSG00000168724,34929698,34959069,1,5,DNAJC21,"DnaJ (Hsp40) homolog, subfamily C, member 21 [Source:HGNC Symbol;Acc:27030]"
ENSG00000205571,69345350,69374349,1,5,SMN2,"survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]"
ENSG00000073969,44668035,44834830,1,17,NSF,N-ethylmaleimide-sensitive factor [Source:HGNC Symbol;Acc:8016]
ENSG00000167380,44669226,44682534,1,19,ZNF226,zinc finger protein 226 [Source:HGNC Symbol;Acc:13019]
ENSG00000154760,33762115,33775856,-1,17,SLFN13,schlafen family member 13 [Source:HGNC Symbol;Acc:26481]
ENSG00000184939,68563993,68609975,1,16,ZFP90,ZFP90 zinc finger protein [Source:HGNC Symbol;Acc:23329]
ENSG00000198108,129240165,129522327,1,5,CHSY3,chondroitin sulfate synthase 3 [Source:HGNC Symbol;Acc:24293]
ENSG00000115091,114647537,114720173,1,2,ACTR3,ARP3 actin-related protein 3 homolog (yeast) [Source:HGNC Symbol;Acc:170]
ENSG00000197601,13690217,13753893,1,11,FAR1,fatty acyl CoA reductase 1 [Source:HGNC Symbol;Acc:26222]
ENSG00000121879,178865902,178957881,1,3,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]"
ENSG00000263243,39017555,39023462,-1,HSCHR17_4_CTG4,KRT12,keratin 12 [Source:HGNC Symbol;Acc:6414]
ENSG00000166984,167559902,167610401,1,6,TCP10L2,t-complex 10-like 2 [Source:HGNC Symbol;Acc:21254]
ENSG00000150768,111895538,111935114,1,11,DLAT,dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:2896]
ENSG00000108278,34842473,34855154,1,17,ZNHIT3,"zinc finger, HIT-type containing 3 [Source:HGNC Symbol;Acc:12309]"
ENSG00000263057,39032193,39041479,-1,HSCHR17_4_CTG4,KRT20,keratin 20 [Source:HGNC Symbol;Acc:20412]
ENSG00000179038,66963391,66964638,-1,11,AP001885.1,
ENSG00000120160,27284656,27297137,-1,9,EQTN,"equatorin, sperm acrosome associated [Source:HGNC Symbol;Acc:1359]"
ENSG00000264619,31737296,31743982,1,HSCHR6_MHC_APD,MSH5-SAPCD1,MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:41994]
ENSG00000166949,67356101,67487533,1,15,SMAD3,SMAD family member 3 [Source:HGNC Symbol;Acc:6769]
ENSG00000078589,78200829,78217451,1,X,P2RY10,"purinergic receptor P2Y, G-protein coupled, 10 [Source:HGNC Symbol;Acc:19906]"
ENSG00000172020,115342171,115440337,1,3,GAP43,growth associated protein 43 [Source:HGNC Symbol;Acc:4140]
ENSG00000235650,33161393,33165893,1,HSCHR6_MHC_COX,RPS18,ribosomal protein S18 [Source:HGNC Symbol;Acc:10401]
ENSG00000079263,231067826,231223762,1,2,SP140,SP140 nuclear body protein [Source:HGNC Symbol;Acc:17133]
ENSG00000104611,19171128,19253729,1,8,SH2D4A,SH2 domain containing 4A [Source:HGNC Symbol;Acc:26102]
ENSG00000165511,45493146,45496336,-1,10,C10orf25,chromosome 10 open reading frame 25 [Source:HGNC Symbol;Acc:23509]
ENSG00000120436,167569759,167571817,-1,6,GPR31,G protein-coupled receptor 31 [Source:HGNC Symbol;Acc:4486]
ENSG00000173020,67033881,67054027,1,11,ADRBK1,"adrenergic, beta, receptor kinase 1 [Source:HGNC Symbol;Acc:289]"
ENSG00000169213,52373628,52456436,-1,1,RAB3B,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:9778]"
ENSG00000121152,97001525,97039583,1,2,NCAPH,"non-SMC condensin I complex, subunit H [Source:HGNC Symbol;Acc:1112]"
ENSG00000255692,120137573,120138816,1,12,RP1-127H14.3,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F5H5V3]
ENSG00000141738,37894180,37903544,1,17,GRB7,growth factor receptor-bound protein 7 [Source:HGNC Symbol;Acc:4567]
ENSG00000227861,31741930,31743982,1,HSCHR6_MHC_APD,SAPCD1,suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:13938]
ENSG00000169567,130494720,130507428,-1,5,HINT1,histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:4912]
ENSG00000135426,55341802,55378530,-1,12,TESPA1,"thymocyte expressed, positive selection associated 1 [Source:HGNC Symbol;Acc:29109]"
ENSG00000055130,148395006,148498128,1,7,CUL1,cullin 1 [Source:HGNC Symbol;Acc:2551]
ENSG00000053918,2465914,2870339,1,11,KCNQ1,"potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:6294]"
ENSG00000164543,43622357,43666385,1,7,STK17A,serine/threonine kinase 17a [Source:HGNC Symbol;Acc:11395]
ENSG00000263007,111779288,111794445,-1,HG388_HG400_PATCH,CRYAB,"crystallin, alpha B [Source:HGNC Symbol;Acc:2389]"
ENSG00000112494,167684657,167729507,1,6,UNC93A,unc-93 homolog A (C. elegans) [Source:HGNC Symbol;Acc:12570]
ENSG00000198692,22737611,22755040,1,Y,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked [Source:HGNC Symbol;Acc:3252]"
ENSG00000164885,150750899,150755617,-1,7,CDK5,cyclin-dependent kinase 5 [Source:HGNC Symbol;Acc:1774]
ENSG00000268809,105882490,105882585,-1,2,AC012360.2,LOC644617 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q96FE4]
ENSG00000120162,27325207,27529779,-1,9,MOB3B,MOB kinase activator 3B [Source:HGNC Symbol;Acc:23825]
ENSG00000171847,8373856,8380214,-1,12,FAM90A1,"family with sequence similarity 90, member A1 [Source:HGNC Symbol;Acc:25526]"
ENSG00000128463,34517200,34522357,1,15,EMC4,ER membrane protein complex subunit 4 [Source:HGNC Symbol;Acc:28032]
ENSG00000135127,120427673,120532298,1,12,CCDC64,coiled-coil domain containing 64 [Source:HGNC Symbol;Acc:28095]
ENSG00000135974,105953816,105965668,1,2,C2orf49,chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:28772]
ENSG00000105507,48533210,48547310,-1,19,CABP5,calcium binding protein 5 [Source:HGNC Symbol;Acc:13714]
ENSG00000147138,78426469,78427726,1,X,GPR174,G protein-coupled receptor 174 [Source:HGNC Symbol;Acc:30245]
ENSG00000257148,31112259,31112376,1,HSCHR6_MHC_DBB,CR753819.1,
ENSG00000110881,50451331,50477394,1,12,ASIC1,acid-sensing (proton-gated) ion channel 1 [Source:HGNC Symbol;Acc:100]
ENSG00000173064,112597992,112819896,-1,12,HECTD4,HECT domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:26611]
ENSG00000164120,175411328,175444305,-1,4,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD) [Source:HGNC Symbol;Acc:5154]
ENSG00000187535,1560428,1662111,-1,16,IFT140,intraflagellar transport 140 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29077]
ENSG00000241553,9834179,9849410,1,3,ARPC4,"actin related protein 2/3 complex, subunit 4, 20kDa [Source:HGNC Symbol;Acc:707]"
ENSG00000233890,31120050,31125719,1,HSCHR6_MHC_DBB,TCF19,transcription factor 19 [Source:HGNC Symbol;Acc:11629]
ENSG00000147896,27524312,27526496,1,9,IFNK,"interferon, kappa [Source:HGNC Symbol;Acc:21714]"
ENSG00000011052,49230951,49249105,1,17,NME2,NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:7850]
ENSG00000078596,78615881,78623164,-1,X,ITM2A,integral membrane protein 2A [Source:HGNC Symbol;Acc:6173]
ENSG00000205846,8608522,8630926,1,12,CLEC6A,"C-type lectin domain family 6, member A [Source:HGNC Symbol;Acc:14556]"
ENSG00000117602,24829387,24867530,1,1,RCAN3,RCAN family member 3 [Source:HGNC Symbol;Acc:3042]
ENSG00000124198,47538427,47653230,1,20,ARFGEF2,ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) [Source:HGNC Symbol;Acc:15853]
ENSG00000258588,5617955,5665628,1,11,TRIM6-TRIM34,TRIM6-TRIM34 readthrough [Source:HGNC Symbol;Acc:33440]
ENSG00000112578,41888926,41900784,1,6,BYSL,bystin-like [Source:HGNC Symbol;Acc:1157]
ENSG00000238203,31744721,31756461,-1,HSCHR6_MHC_APD,VWA7,von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:13939]
ENSG00000205581,40714241,40721573,-1,21,HMGN1,high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:4984]
ENSG00000096060,35541362,35696360,-1,6,FKBP5,FK506 binding protein 5 [Source:HGNC Symbol;Acc:3721]
ENSG00000187550,56041100,56048456,-1,19,SBK2,"SH3 domain binding kinase family, member 2 [Source:HGNC Symbol;Acc:34416]"
ENSG00000124688,43597277,43608689,1,6,MAD2L1BP,MAD2L1 binding protein [Source:HGNC Symbol;Acc:21059]
ENSG00000120686,38923986,38937140,1,13,UFM1,ubiquitin-fold modifier 1 [Source:HGNC Symbol;Acc:20597]
ENSG00000237012,30605056,30611220,1,HSCHR6_MHC_DBB,C6orf136,chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:21301]
ENSG00000062038,68670092,68756519,1,16,CDH3,"cadherin 3, type 1, P-cadherin (placental) [Source:HGNC Symbol;Acc:1762]"
ENSG00000117862,52485803,52521843,-1,1,TXNDC12,thioredoxin domain containing 12 (endoplasmic reticulum) [Source:HGNC Symbol;Acc:24626]
ENSG00000227268,89618918,89623194,-1,10,KLLN,"killin, p53-regulated DNA replication inhibitor [Source:HGNC Symbol;Acc:37212]"
ENSG00000147894,27546544,27573864,-1,9,C9orf72,chromosome 9 open reading frame 72 [Source:HGNC Symbol;Acc:28337]
ENSG00000166527,8662071,8674962,1,12,CLEC4D,"C-type lectin domain family 4, member D [Source:HGNC Symbol;Acc:14554]"
ENSG00000086544,41223008,41246765,1,19,ITPKC,inositol-trisphosphate 3-kinase C [Source:HGNC Symbol;Acc:14897]
ENSG00000120440,167738574,167772991,1,6,TTLL2,"tubulin tyrosine ligase-like family, member 2 [Source:HGNC Symbol;Acc:21211]"
ENSG00000157851,27070615,27173219,1,2,DPYSL5,dihydropyrimidinase-like 5 [Source:HGNC Symbol;Acc:20637]
ENSG00000231274,56052023,56056909,-1,19,SBK3,"SH3 domain binding kinase family, member 3 [Source:HGNC Symbol;Acc:44121]"
ENSG00000124788,16299343,16761722,-1,6,ATXN1,ataxin 1 [Source:HGNC Symbol;Acc:10548]
ENSG00000184454,24882602,24935819,1,1,NCMAP,noncompact myelin associated protein [Source:HGNC Symbol;Acc:29332]
ENSG00000151327,35514113,35582336,1,14,FAM177A1,"family with sequence similarity 177, member A1 [Source:HGNC Symbol;Acc:19829]"
ENSG00000165655,77157588,77161664,-1,10,ZNF503,zinc finger protein 503 [Source:HGNC Symbol;Acc:23589]
ENSG00000187021,118349897,118368687,1,10,PNLIPRP1,pancreatic lipase-related protein 1 [Source:HGNC Symbol;Acc:9156]
ENSG00000165512,45495923,45500774,1,10,ZNF22,zinc finger protein 22 [Source:HGNC Symbol;Acc:13012]
ENSG00000218891,56088899,56092211,-1,19,ZNF579,zinc finger protein 579 [Source:HGNC Symbol;Acc:26646]
ENSG00000105499,48551100,48614074,-1,19,PLA2G4C,"phospholipase A2, group IVC (cytosolic, calcium-independent) [Source:HGNC Symbol;Acc:9037]"
ENSG00000101695,29598335,29653176,1,18,RNF125,"ring finger protein 125, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:21150]"
ENSG00000119333,131395940,131419066,-1,9,WDR34,WD repeat domain 34 [Source:HGNC Symbol;Acc:28296]
ENSG00000171862,89622870,89731687,1,10,PTEN,phosphatase and tensin homolog [Source:HGNC Symbol;Acc:9588]
ENSG00000231968,29523343,29527656,-1,HSCHR6_MHC_DBB,UBD,ubiquitin D [Source:HGNC Symbol;Acc:18795]
ENSG00000135622,74881355,74909186,1,2,SEMA4F,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F [Source:HGNC Symbol;Acc:10734]"
ENSG00000256574,45798102,45811056,-1,10,OR13A1,"olfactory receptor, family 13, subfamily A, member 1 [Source:HGNC Symbol;Acc:14772]"
ENSG00000185527,79617489,79630142,-1,17,PDE6G,"phosphodiesterase 6G, cGMP-specific, rod, gamma [Source:HGNC Symbol;Acc:8789]"
ENSG00000118855,158449987,158547508,1,3,MFSD1,major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:25874]
ENSG00000203690,167770521,167797998,-1,6,TCP10,t-complex 10 [Source:HGNC Symbol;Acc:11656]
ENSG00000179943,56102746,56113336,-1,19,FIZ1,FLT3-interacting zinc finger 1 [Source:HGNC Symbol;Acc:25917]
ENSG00000150773,111934734,111944998,-1,11,PIH1D2,PIH1 domain containing 2 [Source:HGNC Symbol;Acc:25210]
ENSG00000229094,31120916,31132215,-1,HSCHR6_MHC_DBB,POU5F1,POU class 5 homeobox 1 [Source:HGNC Symbol;Acc:9221]
ENSG00000188493,41246761,41257458,-1,19,C19orf54,chromosome 19 open reading frame 54 [Source:HGNC Symbol;Acc:24758]
ENSG00000229680,29555643,29556705,1,HSCHR6_MHC_DBB,OR2H2,"olfactory receptor, family 2, subfamily H, member 2 [Source:HGNC Symbol;Acc:8253]"
ENSG00000165066,41502697,41508855,-1,8,NKX6-3,NK6 homeobox 3 [Source:HGNC Symbol;Acc:26328]
ENSG00000091527,133292574,133309105,1,3,CDV3,CDV3 homolog (mouse) [Source:HGNC Symbol;Acc:26928]
ENSG00000171794,135043778,135045062,1,10,UTF1,undifferentiated embryonic cell transcription factor 1 [Source:HGNC Symbol;Acc:12634]
ENSG00000181786,8807751,8809172,-1,19,ACTL9,actin-like 9 [Source:HGNC Symbol;Acc:28494]
ENSG00000101349,9518036,9819689,-1,20,PAK7,p21 protein (Cdc42/Rac)-activated kinase 7 [Source:HGNC Symbol;Acc:15916]
ENSG00000198315,28109688,28127250,1,6,ZKSCAN8,zinc finger with KRAB and SCAN domains 8 [Source:HGNC Symbol;Acc:12983]
ENSG00000166523,8685901,8693559,-1,12,CLEC4E,"C-type lectin domain family 4, member E [Source:HGNC Symbol;Acc:14555]"
ENSG00000147408,19261672,19615540,-1,8,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:24290]
ENSG00000151650,135050908,135055433,1,10,VENTX,VENT homeobox [Source:HGNC Symbol;Acc:13639]
ENSG00000181733,8841316,8842371,1,19,OR2Z1,"olfactory receptor, family 2, subfamily Z, member 1 [Source:HGNC Symbol;Acc:15391]"
ENSG00000186687,130506503,130541119,1,5,LYRM7,LYR motif containing 7 [Source:HGNC Symbol;Acc:28072]
ENSG00000239974,32139229,32142928,1,HSCHR6_MHC_SSTO,EGFL8,"EGF-like-domain, multiple 8 [Source:HGNC Symbol;Acc:13944]"
ENSG00000163013,73481810,73511559,-1,2,FBXO41,F-box protein 41 [Source:HGNC Symbol;Acc:29409]
ENSG00000150893,39261266,39460074,1,13,FREM2,FRAS1 related extracellular matrix protein 2 [Source:HGNC Symbol;Acc:25396]
ENSG00000144278,154728426,155310361,1,2,GALNT13,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13) [Source:HGNC Symbol;Acc:23242]
ENSG00000181016,112120908,112131117,1,7,LSMEM1,leucine-rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:22036]
ENSG00000134758,29671818,29711524,1,18,RNF138,"ring finger protein 138, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17765]"
ENSG00000229183,60989688,61018929,1,11,PGA4,"pepsinogen 4, group I (pepsinogen A) [Source:HGNC Symbol;Acc:8886]"
ENSG00000133422,31321117,31364284,-1,22,MORC2,MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:23573]
ENSG00000258659,5640994,5665628,1,11,TRIM34,tripartite motif containing 34 [Source:HGNC Symbol;Acc:10063]
ENSG00000131470,40724333,40729849,-1,17,PSMC3IP,PSMC3 interacting protein [Source:HGNC Symbol;Acc:17928]
ENSG00000228333,33139275,33146375,-1,HSCHR6_MHC_DBB,RXRB,"retinoid X receptor, beta [Source:HGNC Symbol;Acc:10478]"
ENSG00000160570,42702750,42724292,-1,19,DEDD2,death effector domain containing 2 [Source:HGNC Symbol;Acc:24450]
ENSG00000167785,8920380,8943004,-1,19,ZNF558,zinc finger protein 558 [Source:HGNC Symbol;Acc:26422]
ENSG00000146521,168185217,168197539,-1,6,C6orf123,chromosome 6 open reading frame 123 [Source:HGNC Symbol;Acc:21235]
ENSG00000115641,105974169,106054970,-1,2,FHL2,four and a half LIM domains 2 [Source:HGNC Symbol;Acc:3703]
ENSG00000174482,27948076,28670283,-1,9,LINGO2,leucine rich repeat and Ig domain containing 2 [Source:HGNC Symbol;Acc:21207]
ENSG00000198841,52497775,52499488,-1,1,KTI12,"KTI12 homolog, chromatin associated (S. cerevisiae) [Source:HGNC Symbol;Acc:25160]"
ENSG00000269155,168196210,168198927,1,6,AL009178.1,"Uncharacterized protein; cDNA FLJ43200 fis, clone FEBRA2007793  [Source:UniProtKB/TrEMBL;Acc:Q6ZUY9]"
ENSG00000115896,198669426,199437305,1,2,PLCL1,phospholipase C-like 1 [Source:HGNC Symbol;Acc:9063]
